,price,exchange,pair,pairPrice,volume
159,28616.15,Whitebit,BTC/USD,28616.15,4081317.7275120006
160,28587.0,Maicoin,BTC/USDT,28587.0,3789146.2741469997
161,28667.70577541,CryptoMKT,BTC/DAI,0.999739,3755767.3140417165
162,28702.97,Cryptology,BTC/USD,28702.97,3748411.746844771
163,28712.614051290002,HitBTC,BTC/DAI,0.999739,3641484.435989185
164,28729.337735279998,HuobiPro,BTC/USDD,0.996968,3632006.1494481117
165,30199.98322018763,Exmo,BTC/UAH,1108665.6,3467489.7449861313
166,28676.594075000005,Cryptology,BTC/EUR,26324.5,3276210.137972182
167,29372.480965455266,Tidex,BTC/TRY,559348.0,3275437.9426642573
168,28612.58741258741,CatEx,ETH/BTC,1841.22,3267091.683124089
169,28628.66,CatEx,BTC/USDT,28628.66,3226967.1726278
170,28926.6745579989,Bitopro,BTC/TWD,877000.0,3194133.6167730032
171,28730.099,Bittrex,BTC/USD,28730.099,3190740.59052834
172,28741.665338400056,Zaif,BTC/JPY,3770950.0,3128225.6104322593
173,28705.1060114,OKEX,BTC/DAI,0.999739,3047171.8063088735
174,28674.64664,BitMart,BTC/USDC,1.003,2972135.5975799994
175,27347.9,BithumbGlobal,BTC/USDT,27347.9,2897615.6225898
176,28586.75,Bitbns,BTC/USDT,28586.75,2785109.84154142
177,28605.541195079502,BTCMarkets,BTC/AUD,42574.11,2757651.5291707157
178,28579.004665629865,Bybit,ETH/BTC,1837.63,2739968.8094200003
179,29157.221256693447,Binance,BTC/ZAR,527721.0,2733186.4109896244
180,28692.38965,BitMEX,BTC/EUR,26339.0,2730297.8278241325
181,28764.20051806,Tidex,BTC/USDC,1.003,2648359.255617261
182,28717.0,Bitso,BTC/USD,28717.0,2627004.85551517
183,16263.73,Cryptonex,BTC/USD,16263.73,2625063.60438
184,28673.334305980003,Xt,BTC/DAI,0.999739,2584532.2041466353
185,28838.601819229996,Binance,BTC/BIDR,6.623e-05,2521758.468648622
186,28873.332713819873,MercadoBitcoin,BTC/BRL,152171.2763482,2360864.0795111754
187,28676.049400000004,Bitfinex,BTC/EUR,26324.0,2213933.0415645107
188,28702.918733995888,Kraken,BTC/CHF,26228.7,2159472.0379292904
189,28633.72,Vindax,BTC/USDT,28633.72,2120240.4921656004
190,29367.961291130905,Coinsbit,BTC/TRY,559261.9306347,2092242.8002857056
191,28641.79507904837,Bitstamp,BTC/GBP,23258.0,2070974.9487848121
192,28843.801499999998,Cryptology,BTC/BUSD,1.005,2028008.2293461103
193,28621.38942709767,Luno,BTC/MYR,126450.0,1990570.5810904247
194,28591.2,Bitopro,BTC/USDT,28591.2,1928773.4276590561
195,28786.792721,Exmo,BTC/EUR,26425.66,1875778.2345678548
196,28856.693263297457,Indodax,BTC/IDR,435247000.0,1862779.3867077043
197,28600.74707185392,Kraken,BTC/CAD,39006.0,1859353.869213407
198,28689.212728234164,Cryptology,ETH/BTC,1844.659,1839732.5136465353
199,28869.903296538047,Coinsbit,BTC/EUR,26501.9537307,1782731.5582328807
200,28604.68737002,Bittrex,BTC/USDT,28604.68737002,1736833.71245704
